section,decision_field,unit_or_format,mandatory,buyer_requirement,supplier_response,evidence_reference,source_date,status,owner,next_action,profile_id,tool_or_die_id,finish_batch_id,notes
Program control,Register reference,Buyer reference,Yes,Assign a unique register and revision,,,,Open,Buyer,Assign before supplier issue,,,,Use one controlled register per supplier program
Program control,Supplier legal entity,Legal name and address,Yes,Identify the quoting and contracting entity,,,,Open,Supplier,Complete legal identity,,,,Do not rely on a trading name alone
Program control,Extrusion plant,Plant name and address,Yes,Identify the plant responsible for extrusion,,,,Open,Supplier,Confirm the manufacturing site,,,,Keep plant changes under approval control
Program control,Finishing plant,Plant name and address,If applicable,Identify the plant responsible for surface finishing,,,,Open,Supplier,Confirm the finishing site,,,,Record subcontracted coaters or anodisers
Program control,Buyer program owner,Name and role,Yes,Assign commercial and technical ownership,,,,Open,Buyer,Assign accountable owner,,,,Avoid approvals without named responsibility
Program control,Supplier program owner,Name and role,Yes,Assign one supplier coordinator,,,,Open,Supplier,Name the coordinator,,,,Coordinator is not a substitute for technical sign-off
Program control,Register revision,Revision and date,Yes,Control every material register change,,,,Open,Buyer,Issue current revision only,,,,Archive superseded revisions
Profile scope,Buyer profile ID,Buyer part number,Yes,Assign one stable identifier per finished profile,,,,Open,Buyer,Enter the buyer profile ID,,,,Use across drawing PO packing list and claim
Profile scope,Controlled drawing,Drawing number and revision,Yes,Attach the released drawing revision,,,,Open,Buyer,Attach controlled drawing,,,,Block quotation against obsolete drawings
Profile scope,Intended use,Text,Yes,Describe the buyer application and exposure context,,,,Open,Buyer,Define intended use,,,,Route product rule questions separately
Profile scope,Alloy designation,Contract designation,Yes,Define the required alloy basis,,,,Open,Buyer,Specify contract requirement,,,,Do not accept a generic aluminium description
Profile scope,Temper designation,Contract designation,Yes,Define the required temper basis,,,,Open,Buyer,Specify contract requirement,,,,Join evidence to the applicable batch
Profile scope,Nominal profile mass,Mass per length,Yes,Define the quotation and reconciliation basis,,,,Open,Buyer and supplier,Agree the measurement basis,,,,Record theoretical and measured values separately if both are used
Profile scope,Cut length,Length and tolerance,Yes,Define finished bar length and acceptance basis,,,,Open,Buyer,Specify required length,,,,Include saw allowance only when contractually agreed
Profile scope,Critical dimensions,Drawing callouts,Yes,Identify dimensions that control fit or fabrication,,,,Open,Buyer,Mark critical dimensions,,,,Do not reduce acceptance to a general tolerance statement
Profile scope,Straightness and twist,Contract method and limit,Yes,Define the applicable measurement method and limit,,,,Open,Buyer,Set project-specific acceptance basis,,,,Leave unresolved until the buyer selects the basis
Profile scope,Fabrication operations,Operation list,If applicable,Define drilling punching milling bending or assembly scope,,,,Open,Buyer and supplier,Confirm operation sequence,,,,Join jigs and programs to revisions
Profile scope,Visible surfaces,Marked drawing or image,If applicable,Identify cosmetic faces and protected areas,,,,Open,Buyer,Mark visible faces,,,,Use for finish and packing acceptance
