section,cost_or_scope_line,buyer_input,supplier_fob,supplier_cif,supplier_dap,evidence_or_quote_source,confidence,next_action
Product,Controlled specification and revision,,,,,,,
Product,Quantity and quantity tolerance,,,,,,,
Product,Unit and total net weight,,,,,,,
Product,Tooling samples testing and inspection,,,,,,,
Packing,Export packing design and protection,,,,,,,
Packing,Package or bundle dimensions,,,,,,,
Packing,Total gross weight and loading plan,,,,,,,
Commercial,Incoterm rule version and named place,,,,,,,
Handoff,Mode eligibility and physical handoff,,,,,,,
Handoff,Seller-arranged carriage endpoint,,,,,,,
Handoff,Delivery and risk-transfer point,,,,,,,
Handoff,Import clearance duty and tax owner,,,,,,,
Insurance,Rule insurance obligation and contract coverage,,,,,,,
Destination,Destination-charge allocation and carrier billing,,,,,,,
Delivery,Ready-for-unloading point and equipment,,,,,,,
Risk,Exception costs after risk transfer,,,,,,,
Commercial,Goods value under controlled specification,,,,,,,
Origin,Origin collection or inland haulage,,,,,,,
Origin,Export clearance and documentation,,,,,,,
Origin,Origin terminal and handling charges,,,,,,,
Main carriage,Freight mode route and equipment,,,,,,,
Main carriage,Main-carriage rate and surcharges,,,,,,,
Main carriage,Quotation validity and capacity assumption,,,,,,,
Insurance,Insured value exclusions and deductible,,,,,,,
Destination,Terminal port or carrier charges,,,,,,,
Destination,Free time storage demurrage and detention,,,,,,,
Customs,Customs representative and disbursement fees,,,,,,,
Customs,Customs-value additions and methodology,,,,,,,
Customs,Tariff classification for confirmation,,,,,,,
Customs,Origin evidence and current measures,,,,,,,
Customs,Estimated duty,,,,,,,
Tax,Import VAT cash requirement,,,,,,,
Delivery,Final delivery address and route,,,,,,,
Delivery,Appointment access and waiting time,,,,,,,
Delivery,Unloading crane forklift or labour,,,,,,,
Risk,Damage breakage delay or rejection allowance,,,,,,,
Total,Landed cost before import VAT,,,,,,,
Total,Import VAT cash requirement,,,,,,,
Total,Delivered operational cost,,,,,,,
Decision,Unresolved blocker or evidence request,,,,,,,
